湖南IPTV,#genre#
女性时尚,http://183.215.102.57:8089/180000001001/00000001000000000091000000244811/main.m3u8?IASHttpSessionId=OTT
央视台球,http://183.215.102.57:8089/180000001001/00000001000000000091000000244803/main.m3u8?IASHttpSessionId=OTT
高尔夫网球,http://183.215.102.57:8089/180000001001/00000001000000000091000000244801/main.m3u8?IASHttpSessionId=OTT
央视文化精品,http://183.215.102.57:8089/180000001001/00000001000000000091000000244810/main.m3u8?IASHttpSessionId=OTT
央视卫生健康,http://183.204.13.157/ysp.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
央视卫生健康,http://d9thrj.shenghuilianmeng.cn/ysp.php?id=wsjk
央视书画频道,http://183.215.116.134:6610/180000001001/00000001000000000050000000448843/main.m3u8?IASHttpSessionId=OTT
劲爆体育,http://43.141.130.33/fjnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/jbtyhd8m/8000000/mnf.m3u8
五星体育,http://43.141.130.33/fjnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/wxtyhd8m/8000000/mnf.m3u8
魅力足球,http://43.141.130.33/fjnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/mlyyhd8m/8000000/mnf.m3u8
新视觉,http://43.141.130.33/fjnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/xsjhd8m/8000000/mnf.m3u8
游戏风云,http://43.141.130.33/fjnetv51.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/yxfy8m/8000000/mnf.m3u8
天元围棋,http://39.134.240.3/PLTV/2/224/3221226342/index.m3u8
中国天气,http://39.134.240.3/PLTV/2/224/3221225809/index.m3u8
百姓健康频道,http://39.134.240.3/PLTV/2/224/3221226354/index.m3u8
北京卡酷,http://39.134.240.3/PLTV/2/224/3221225994/index.m3u8
优漫卡通,http://39.134.240.3/PLTV/2/224/3221226086/index.m3u8
哈哈炫动,http://39.134.240.3/PLTV/2/224/3221226084/index.m3u8
新动漫,http://183.215.102.57:8089/180000001001/00000001000000000050000000448837/main.m3u8?IASHttpSessionId=OTT
优漫卡通,http://183.215.102.57:8089/180000001001/00000000000000020000000000182321/main.m3u8?IASHttpSessionId=OTT
